% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV646
% Time: 2025/10/23 15:31:36
% Demod 1 Sample R, /dev646/demods/0/sample.R
% Frequency (Hz); Demod 1 Sample R  Amplitude (V)
25802.12293940988; 0.0281525511278
25810.0998568673; 0.0284812545543
25818.07677432471; 0.0288241371333
25826.05369178213; 0.0291794258366
25834.03060923954; 0.0295503036887
25842.00752669695; 0.0299341655106
25849.98444415437; 0.0303286036524
25857.96136161178; 0.0307411718902
25865.9382790692; 0.0311723513843
25873.91519652661; 0.0316214540043
25881.89211398402; 0.0320858843442
25889.86903144144; 0.0325713696325
25897.84594889885; 0.033079166721
25905.82286635627; 0.0336069024198
25913.79978381368; 0.0341592487351
25921.77670127109; 0.0347398319794
25929.75361872851; 0.0353481540075
25937.73053618592; 0.0359870992806
25945.70745364333; 0.0366584720798
25953.68437110075; 0.037363842199
25961.66128855816; 0.0381061717042
25969.63820601557; 0.038891144741
25977.61512347299; 0.0397217542487
25985.5920409304; 0.0405999261611
25993.56895838782; 0.0415283308772
26001.54587584523; 0.0425149271758
26009.52279330264; 0.0435666780959
26017.49971076006; 0.0446850753233
26025.47662821747; 0.0458810372814
26033.45354567489; 0.0471626942832
26041.4304631323; 0.0485360864446
26049.40738058971; 0.0500191808226
26057.38429804713; 0.0516138769416
26065.36121550454; 0.0533422012069
26073.33813296196; 0.055218143573
26081.31505041937; 0.0572673852281
26089.29196787678; 0.0595073485382
26097.2688853342; 0.0619717564531
26105.24580279161; 0.0646822215112
26113.22272024902; 0.0676905341987
26121.19963770644; 0.0710542922551
26129.17655516385; 0.0748321132907
26137.15347262127; 0.0791076373598
26145.13039007868; 0.0839887622204
26153.10730753609; 0.089604133904
26161.08422499351; 0.0961357530244
26169.06114245092; 0.103843185475
26177.03805990834; 0.113053326558
26185.01497736575; 0.124263428325
26192.99189482316; 0.138206725006
26200.96881228057; 0.156000274543
26208.94572973799; 0.179577035323
26216.9226471954; 0.212117024325
26224.89956465282; 0.26010438768
26232.87648211023; 0.339046758348
26240.85339956764; 0.481150825572
26248.83031702506; 0.897851889438
26256.80723448247; 1.25691881087
26264.78415193989; 0.907687875224
26272.7610693973; 0.509754068625
26280.73798685471; 0.367813449008
26288.71490431213; 0.265990408416
26296.69182176954; 0.209514332531
26304.66873922696; 0.171566627688
26312.64565668437; 0.144893793177
26320.62257414178; 0.125063831067
26328.5994915992; 0.109705204585
26336.57640905661; 0.0974982303095
26344.55332651403; 0.0875486009303
26352.53024397144; 0.0792769456718
26360.50716142885; 0.0723044067434
26368.48407888627; 0.0663438030227
26376.46099634368; 0.0611940487551
26384.4379138011; 0.0566815092629
26392.41483125851; 0.052713859691
26400.39174871592; 0.0491923931371
26408.36866617334; 0.0460422170148
26416.34558363075; 0.0432104692089
26424.32250108817; 0.0406538996523
26432.29941854558; 0.0383279623983
26440.27633600299; 0.0362067852843
26448.25325346041; 0.0342646027142
26456.23017091782; 0.0324803841335
26464.20708837523; 0.030830587014
26472.18400583265; 0.0293031894939
26480.16092329006; 0.0278808227219
26488.13784074747; 0.0265589887604
26496.11475820489; 0.0253287709537
26504.0916756623; 0.0241802238719
26512.06859311971; 0.0231057241238
26520.04551057713; 0.0220955131382
26528.02242803454; 0.0211459619835
26535.99934549196; 0.0202496755367
26543.97626294937; 0.0194030361788
26551.95318040678; 0.0186008818091
26559.9300978642; 0.0178397854542
26567.90701532161; 0.0171172217393
26575.88393277903; 0.0164326840287
26583.86085023644; 0.015780203233
26591.83776769385; 0.0151591604507
26599.81468515127; 0.0145637322503
26607.79160260868; 0.0139984631869
26615.7685200661; 0.0134582470984
26623.74543752351; 0.0129426981147
26631.72235498092; 0.0124444700642
26639.69927243834; 0.0119732699867
26647.67618989575; 0.0115179054353
26655.65310735317; 0.0110821414592
26663.63002481058; 0.0106624730492
26671.60694226799; 0.0102556700116
26679.58385972541; 0.00987129502675
26687.56077718282; 0.00949659232834
26695.53769464024; 0.00913835292776
26703.51461209765; 0.00878953074431
26711.49152955506; 0.00845170374495
26719.46844701248; 0.00812854595996
26727.44536446989; 0.00781563948213
26735.42228192731; 0.00751167345859
26743.39919938472; 0.00721834736656
26751.37611684213; 0.00693573329549
26759.35303429954; 0.00666283441613
26767.32995175696; 0.00639640045239
26775.30686921437; 0.00613736964244
26783.28378667179; 0.00588556815513
26791.2607041292; 0.00564203944265
26799.23762158661; 0.00540734177254
26807.21453904403; 0.00517695955874
26815.19145650144; 0.00495439407198
26823.16837395886; 0.00473702139092
26831.14529141627; 0.00452561348229
26839.12220887368; 0.00431963345417
26847.0991263311; 0.0041207321356
26855.07604378851; 0.00393120878729
26863.05296124592; 0.00373897632236
26871.02987870334; 0.00355430074639
26879.00679616075; 0.00337562431107
26886.98371361817; 0.00319983296621
26894.96063107558; 0.00302866035874
26902.93754853299; 0.00286500894556
26910.91446599041; 0.00270177372741
26918.89138344782; 0.00254136634837
26926.86830090524; 0.00239002063407
26934.84521836265; 0.00223617841703
26942.82213582006; 0.00209127323904
26950.79905327748; 0.00194622655427
26958.77597073489; 0.00180355713171
26966.75288819231; 0.00166694075229
26974.72980564972; 0.00153245385547
26982.70672310713; 0.00139905262624
26990.68364056454; 0.00127213051023
26998.66055802196; 0.00114603255088
27006.63747547937; 0.00102073225669
27014.61439293679; 0.000901886914379
27022.5913103942; 0.00078348739853
27030.56822785161; 0.000666735763355
27038.54514530903; 0.000553327701013
27046.52206276644; 0.000444594421687
27054.49898022386; 0.000338018161123
27062.47589768127; 0.000235787725981
27070.45281513868; 0.000139412646749
27078.4297325961; 8.10678270052e-05
27086.40665005351; 0.00011803993753
27094.38356751093; 0.000202075873725
27102.36048496834; 0.000295356846538
27110.33740242575; 0.000389630936224
27118.31431988317; 0.000481097982364
27126.29123734058; 0.000575715780261
27134.268154798; 0.000664242085346
27142.24507225541; 0.000751063895044
27150.22198971282; 0.00083961057922
27158.19890717024; 0.000925763529128
27166.17582462765; 0.00101032286344
27174.15274208507; 0.00109412542512
27182.12965954248; 0.00117441559591
27190.10657699989; 0.00125471195041
27198.08349445731; 0.00133356711634
27206.06041191472; 0.0014126427015
27214.03732937213; 0.00149039144166
27222.01424682955; 0.00156570848205
27229.99116428696; 0.00164095347421
27237.96808174438; 0.00171312680981
27245.94499920179; 0.00178360621445
27253.9219166592; 0.00185524315623
27261.89883411662; 0.0019256263586
27269.87575157403; 0.00199357482706
27277.85266903144; 0.00206255771708
27285.82958648886; 0.00212804954867
27293.80650394627; 0.00219472184914
27301.78342140368; 0.00226074705527
27309.7603388611; 0.00232353580039
27317.73725631851; 0.00238764035858
27325.71417377593; 0.00244953071518
27333.69109123334; 0.00251128309005
27341.66800869075; 0.00256997832686
27349.64492614817; 0.00262934400744
27357.62184360558; 0.00268938467752
27365.598761063; 0.00274740873992
27373.57567852041; 0.00280280284199
27381.55259597782; 0.00286122834081
27389.52951343524; 0.00291655507273
